subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
hp:HP:0033400	mesh:D000006	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000727	umls_ingest	2023-09-06
hp:HP:0032155	mesh:D003085	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000729	umls_ingest	2023-09-06
hp:HP:0002027	mesh:D015746	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000737	umls_ingest	2023-09-06
hp:HP:0008181	mesh:D000012	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000744	umls_ingest	2023-09-06
hp:HP:0034057	mesh:D000013	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000768	umls_ingest	2023-09-06
hp:HP:0032224	mesh:D000017	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000778	umls_ingest	2023-09-06
hp:HP:0030449	mesh:D000032	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000820	umls_ingest	2023-09-06
hp:HP:0011419	mesh:D000037	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000832	umls_ingest	2023-09-06
hp:HP:0025615	mesh:D000038	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000833	umls_ingest	2023-09-06
hp:HP:0100792	mesh:D000051	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000887	umls_ingest	2023-09-06
hp:HP:0000956	mesh:D000052	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0000889	umls_ingest	2023-09-06
hp:HP:0032448	mesh:D000126	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001075	umls_ingest	2023-09-06
hp:HP:0004360	mesh:D000137	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001118	umls_ingest	2023-09-06
hp:HP:0001941	mesh:D000138	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001122	umls_ingest	2023-09-06
hp:HP:0003128	mesh:D000140	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001125	umls_ingest	2023-09-06
hp:HP:0001947	mesh:D000141	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001126	umls_ingest	2023-09-06
hp:HP:0005972	mesh:D000142	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0001127	umls_ingest	2023-09-06
