subject_id	object_id	object_id	predicate_id	predicate_id	mapping_justification	mapping_justification	match_string	mapping_tool	mapping_date
HP:0032155	NCIT:C34331	mesh:D003085	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000729	umls_ingest	2023-11-27
HP:0002027	NCIT:C26682	mesh:D015746	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000737	umls_ingest	2023-11-27
HP:0008181	NCIT:C84525	mesh:D000012	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000744	umls_ingest	2023-11-27
HP:0034057	NCIT:C2849	mesh:D000013	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000768	umls_ingest	2023-11-27
HP:0032224	NCIT:C76245	mesh:D000017	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000778	umls_ingest	2023-11-27
HP:0030449	NCIT:C92894	mesh:D000032	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000820	umls_ingest	2023-11-27
HP:0011419	NCIT:C26685	mesh:D000037	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000832	umls_ingest	2023-11-27
HP:0025615	NCIT:C26686	mesh:D000038	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000833	umls_ingest	2023-11-27
HP:0100792	NCIT:C54252	mesh:D000051	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000887	umls_ingest	2023-11-27
HP:0000956	NCIT:C26687	mesh:D000052	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0000889	umls_ingest	2023-11-27
HP:0032448	NCIT:C2850	mesh:D000126	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0001075	umls_ingest	2023-11-27
HP:0001941	NCIT:C83504	mesh:D000138	oboinowl:hasDbXref	oboinowl:hasDbXref	sempav:UnspecifiedMatching	sempav:UnspecifiedMatching	umls:C0001122	umls_ingest	2023-11-27
