# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   oboinowl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   umls: http://linkedlifedata.com/resource/umls/id/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/467f578f-3319-4fb4-92fb-bddaf41b0c1f
subject_id	object_id	predicate_id	mapping_justification
umls:C0000727	HP:0033400	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000729	HP:0032155	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000731	HP:0003270	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000734	HP:0031500	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000737	HP:0002027	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000744	HP:0008181	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000768	HP:0034057	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000778	HP:0032224	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000820	HP:0030449	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000832	HP:0011419	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000833	HP:0025615	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000887	HP:0100792	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0000889	HP:0000956	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0001075	HP:0032448	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0001118	HP:0004360	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0001122	HP:0001941	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0001125	HP:0003128	oboinowl:hasDbXref	semapv:MappingChaining
umls:C0001126	HP:0001947	oboinowl:hasDbXref	semapv:MappingChaining
